Exercise_Name,muscle_gp,Equipment,Rating,Difficulty
Wide-grip hands-elevated push-up,Chest,Body Only,4,Average
Decline Dumbbell Triceps Extension,Triceps,Dumbbell,6,Average
Jumping jack-,Quadriceps,Body Only,10,Average
Push-Ups With Feet On An Exercise Ball,Chest,Body Only,8,Average
Seated cable shoulder press,Shoulders,Cable,7,Average
Barbell hack squat,Quadriceps,Barbell,10,Hard
Feet-elevated push-up,Chest,Body Only,10,Average
Good Morning,Hamstrings,Barbell,1,Hard
Leverage Chest Press,Chest,Machine,1,Easy
Gironda Sternum Chins,Lats,Other,4,Average
Exercise ball crunch,Abdominals,Exercise Ball,9,Average
Seated rear delt fly,Shoulders,Dumbbell,4,Average
Standing face pull,Shoulders,Cable,9,Average
Glute Ham Raise,Hamstrings,Machine,2,Average
Russian twist,Abdominals,Body Only,3,Hard
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,6,Average
Barbell shrug,Traps,Barbell,8,Hard
Standing cable rear delt row,Shoulders,Cable,1,Average
Flat Bench Lying Leg Raise,Abdominals,Body Only,7,Average
Hack Squat,Quadriceps,Barbell,3,Average
Dumbbell skullcrusher,Triceps,Dumbbell,8,Average
Man-maker,Middle Back,Dumbbell,6,Hard
Pallof press,Abdominals,Other,4,Average
Knees tucked crunch,Abdominals,Body Only,10,Hard
Straight-arm dumbbell pull-over,Chest,Dumbbell,5,Easy
Arms-crossed jump squat,Quadriceps,Body Only,6,Average
Decline Smith Press,Chest,Machine,1,Average
Band Skull Crusher,Triceps,Machine,2,Average
Side Wrist Pull,Shoulders,,8,Average
Isometric Wipers,Chest,Body Only,8,Average
Skating,Quadriceps,Other,6,Hard
Cable cross-over,Chest,Cable,7,Average
Treadmill running,Quadriceps,Machine,3,Hard
One Arm Pronated Dumbbell Triceps Extension,Triceps,Dumbbell,3,Easy
Single-arm kettlebell clean and jerk,Shoulders,Kettlebells,7,Average
Side To Side Chins,Lats,Body Only,1,Hard
Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell,5,Average
Seated palms-down wrist curl,Forearms,Dumbbell,6,Easy
Standing leg swing,Hamstrings,Body Only,7,Hard
Clock push-up,Chest,Body Only,4,Average
Machine seated row,Lats,Machine,8,Average
Lying Face Up Plate Neck Resistance,Neck,Other,4,Average
Weighted sissy squat,Quadriceps,Other,3,Average
Jog In Place,Quadriceps,Cable,6,Average
Dumbbell Raise,Shoulders,Dumbbell,5,Hard
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,3,Average
One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell,4,Easy
Stationary bike,Quadriceps,Machine,9,Average
Dumbbell bent-over row,Middle Back,Dumbbell,7,Average
Barbell thruster,Quadriceps,Barbell,8,Hard
Flutter Kicks,Glutes,Weight Bench,10,Average
Dumbbell sumo squat,Quadriceps,Dumbbell,6,Easy
Barbell upright row,Shoulders,Barbell,10,Hard
Superman,Lower Back,Body Only,6,Average
Straight-Arm Pulldown,Lats,Cable,7,Average
Barbell stiff-legged deadlift,Hamstrings,Barbell,7,Average
Standing One-Arm Dumbbell Triceps Extension,Triceps,Dumbbells,4,Average
Smith machine bench press,Chest,Machine,1,Average
Seated Side Lateral Raise,Shoulders,Dumbbell,7,Hard
Dumbbell Lying Rear Lateral Raise,Shoulders,Dumbbell,7,Average
Dumbbell preacher curl,Biceps,Dumbbell,9,Easy
Front Raise And Pullover,Chest,Barbell,7,Hard
Dumbbell seated box jump,Quadriceps,Dumbbell,10,Average
Middle Back Shrug,Middle Back,Dumbbell,4,Average
Incline face-down bar front raise,Shoulders,E-Z Curl Bar,10,Average
Butt-Ups,Abdominals,Body Only,1,Average
Band Good Morning (Pull Through),Hamstrings,Bands,5,Average
Bodyweight Reverse Lunge,Quadriceps,Body Only,5,Hard
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms,Dumbbell,8,Average
Glute Kickback,Glutes,Body Only,8,Easy
Treadmill jogging,Quadriceps,Machine,4,Hard
Plate Pinch,Forearms,Other,3,Average
Yates Row Reverse Grip,Middle Back,Barbell,5,Average
Linear Acceleration Wall Drill,Hamstrings,Body Only,9,Average
Reverse-grip bench press,Triceps,Barbell,3,Average
Leverage Decline Chest Press,Chest,Machine,6,Average
Chain Handle Extension,Triceps,Other,9,Hard
